player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst
player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst
Gryff		1205	280	-11	390	248	168	147	983	16	4011	334	76	576	58	8	62	37	35	4	14	0	143	141	4	7295
Curry		1065	280	8	401	260	156	141	890	11	4211	356	56	576	54	6	46	28	34	2	23	0	173	145	0	7165
ccga4	SNI	999	280	-14	284	287	217	199	1406	15	3035	235	62	576	71	12	76	45	50	4	25	0	85	85	3	7548
raymond53		195	80	-11	39	112	85	79	494	5	286	33	16	180	28	5	19	8	17	2	11	0	11	9	0	2151
Iblis		236	80	-11	83	68	31	31	144	0	1330	79	18	180	11	1	9	7	8	0	2	0	43	28	0	2151
ooo killem		678	200	-8	141	322	286	266	1961	17	960	118	53	432	85	18	80	59	80	6	28	0	37	30	4	5341
Mr. Hat	HGW	982	280	-14	312	576	514	482	3195	28	765	238	86	576	180	27	130	78	88	8	41	1	59	53	5	7548
KOBE*BRYANT		712	200	2	179	343	290	268	2107	20	527	139	40	450	89	27	72	48	53	4	32	2	30	27	2	5140
Ty	LAA	1372	280	37	425	230	143	125	922	16	4890	358	98	576	46	7	54	28	29	3	16	1	166	146	6	6662
pulpo		873	280	37	136	522	472	423	2651	42	906	99	56	576	156	23	119	77	120	13	33	4	37	30	2	6662
grumpy		1156	280	37	357	190	117	106	654	9	5180	299	72	576	38	4	41	29	25	0	16	2	123	118	2	6662
PingPrisoner		958	240	-41	355	70	23	22	170	2	4581	302	59	486	7	2	8	4	1	0	4	1	147	127	3	5504
DT	PKP	995	280	-24	224	397	358	323	2452	31	1218	186	69	576	107	23	92	56	81	10	31	1	62	53	3	7080
Eashy		353	110	-21	155	106	57	56	281	0	2090	137	25	234	20	3	13	10	9	0	5	0	59	42	2	2549
Maru		1025	280	37	233	486	434	396	3107	35	1187	177	65	576	133	40	105	70	87	8	48	2	52	44	3	6662
Frozen		217	80	-13	54	131	118	111	668	6	228	46	18	180	38	5	31	21	20	0	5	0	11	11	2	1912
EGGO		965	270	-20	303	294	225	206	1213	14	2698	247	79	549	68	6	55	38	47	4	23	1	104	96	0	7597
gg!		965	280	-20	203	428	413	367	3425	40	629	174	52	576	92	45	134	92	85	10	43	9	59	48	3	7696
CB13		624	160	-29	219	161	112	102	670	9	1827	197	41	342	31	4	28	20	23	2	8	2	91	76	4	4082
Doris		1026	240	-6	381	199	131	118	812	11	3816	336	59	486	35	5	35	23	31	3	14	0	161	136	4	6294
Pandora		768	200	-8	240	191	119	114	619	5	3076	198	59	432	52	5	33	26	27	2	11	0	89	67	0	5182
777z		548	140	-7	206	103	57	55	330	1	2366	170	32	288	17	3	18	11	9	1	2	0	63	62	1	3683
sun chips		928	280	-20	220	432	375	332	2405	34	934	160	79	576	111	18	95	63	111	14	31	3	51	43	6	7696
DragonBeast	LAA	949	280	-12	218	458	415	378	2677	34	678	169	76	576	140	32	75	49	73	11	27	3	47	48	4	7526
glob.		647	200	-23	165	349	293	268	1775	19	560	113	55	432	104	18	76	44	59	1	16	3	28	18	4	5859
Spjork		1173	280	16	400	285	175	159	793	15	4134	339	70	576	62	4	47	34	40	4	23	2	133	100	4	7041
Bamboozler		852	280	16	206	505	450	417	2914	28	773	150	62	576	144	32	126	74	83	10	40	1	38	37	3	7041
yiss		624	160	4	213	116	41	37	247	4	2976	184	38	342	19	5	13	9	15	2	2	0	94	73	1	3670
Wanye		1194	268	22	389	208	112	97	830	14	4811	337	72	549	38	9	38	29	32	4	10	2	169	159	1	6599
Sherra		954	280	22	204	531	460	423	3090	35	683	150	69	576	138	34	111	71	95	9	46	5	59	51	0	6752
Djinni		1233	280	16	396	227	148	133	948	13	4994	341	87	576	44	8	53	29	42	1	13	1	165	154	2	7041
GOOBR		1083	280	22	246	489	446	404	2725	37	800	186	83	576	133	21	119	78	88	10	39	4	47	45	1	6752
meX	QUE	1415	280	45	546	163	75	67	334	8	5420	462	93	576	34	1	23	13	12	2	3	0	222	214	2	5574
Berry Fast		278	80	-4	109	75	43	43	206	0	1300	93	24	180	15	1	9	5	8	0	3	0	37	35	2	2058
Frothy		1232	280	45	414	180	78	69	391	8	5530	368	52	576	27	1	20	15	26	3	1	0	202	186	5	5574
BALLDON'TLIE	MBM	1239	280	45	220	478	459	398	2623	59	848	150	92	576	154	19	90	57	80	10	41	4	52	46	1	5574
Tantrew		835	240	-13	182	426	369	331	2538	35	671	132	54	486	120	26	103	61	55	8	37	5	40	37	4	5925
swerve		942	280	4	175	416	385	347	2581	37	843	125	75	588	105	26	115	77	95	13	28	2	37	35	3	7772
Ball-erina	PKP	1043	276	45	168	451	452	393	2787	51	453	104	70	576	148	26	97	49	93	12	34	3	30	30	0	5574
Armbranch	MIA	1152	280	-24	450	252	135	128	732	7	4484	381	74	576	47	5	23	15	38	3	11	0	195	181	4	7153
Cheetosrule		898	280	-1	236	473	416	380	2601	32	948	180	79	576	138	22	111	75	72	7	34	2	60	51	4	6597
protag		923	280	12	193	528	484	427	2857	49	563	131	68	576	138	21	120	85	111	15	31	4	34	30	1	7327
Olivia Hye		1007	240	2	178	387	371	330	2624	38	632	144	79	504	105	27	92	60	85	12	34	1	42	39	1	5582
waterwheel		1044	277	-33	341	273	181	161	1128	18	3700	273	79	576	59	12	36	24	41	6	24	3	119	98	3	7567
intercest		892	280	-33	282	447	348	320	2294	26	760	206	71	576	108	25	92	61	75	7	39	2	51	47	6	7567
Misaki		1131	280	-1	367	215	152	137	976	12	5181	304	69	576	54	11	47	33	39	5	20	1	133	117	5	6597
C Bivvey		803	200	-20	287	190	111	104	510	7	3073	255	47	432	40	0	32	18	25	3	10	0	122	113	3	5384
RacgiMan		1143	280	-1	367	258	157	142	829	12	4930	297	70	576	51	7	42	28	46	4	15	3	124	105	1	6597
eee		352	90	-12	109	64	41	36	286	3	1015	94	33	207	6	2	11	6	14	1	4	0	38	35	0	2642
First	KCX	760	240	-9	195	353	286	262	1686	20	1004	165	52	486	96	15	62	37	43	5	23	2	48	46	1	6301
DAD.	2BP	33	12	-1	13	9	2	2	3	0	287	10	4	54	1	0	0	0	0	0	0	0	5	4	0	336
#SelfySyntax	MIA	537	200	-22	135	373	320	295	1488	23	656	100	44	396	143	11	75	43	67	2	32	3	29	28	4	5058
NEB.		594	170	-3	164	220	158	143	836	11	1591	125	55	342	54	5	39	27	34	3	10	0	50	44	0	4531
AK 47		324	100	13	70	180	162	146	891	15	360	57	21	180	58	5	32	15	32	4	20	4	20	19	0	2373
Suchit		547	120	7	185	117	92	76	616	14	1677	148	30	216	25	4	23	15	23	2	13	1	71	66	3	3053
ez	MIA	772	200	19	183	295	267	235	1588	32	760	125	65	396	87	10	95	67	56	8	28	4	54	40	2	5014
Fender	SNI	490	120	-12	114	211	196	175	1327	20	271	81	35	216	58	15	40	26	43	5	23	1	27	20	0	2803
FLY		525	140	-13	195	133	70	66	447	4	1774	162	32	288	26	4	20	10	16	2	7	0	72	62	3	4013
hz		491	120	18	146	112	72	62	562	9	1872	136	19	234	17	7	17	9	25	6	5	0	66	60	0	3082
GeT_RiGhT		416	120	-9	164	121	71	66	332	4	1522	139	29	234	25	2	23	12	10	0	9	0	62	58	2	3578
bubblez		0	2	-5	3	2	2	2	2	0	19	3	1	18	2	0	1	1	0	0	1	0	1	1	1	267
omar		321	80	-6	115	81	49	44	257	3	1001	87	22	144	15	1	15	6	15	2	4	0	38	40	2	2207
might dino	DPS	57	20	-6	16	30	21	19	149	2	96	13	4	36	6	2	7	5	2	0	6	1	3	2	0	680
ref		313	80	-13	127	86	61	54	345	6	1114	101	19	144	29	4	14	7	10	2	10	2	45	49	0	2183
q42		206	40	16	66	39	25	21	213	3	697	53	8	90	8	4	7	3	12	0	0	0	23	20	1	1303
d0pe	QUE	101	40	-3	34	80	65	63	373	2	90	28	6	72	24	4	17	10	12	1	5	0	9	4	0	1015
player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst
DAD.	2BP	213	80	-2	55	127	102	98	625	3	161	36	19	180	37	6	26	20	18	1	9	0	10	12	0	1976
aaron	LAA	1184	280	17	474	288	169	155	1048	12	4007	367	99	612	59	12	51	33	30	5	25	1	173	151	3	7203
Messi	DPS	275	80	13	58	129	115	104	722	10	201	31	26	180	39	8	32	23	39	6	8	0	8	6	2	1863
Arbybear		1061	280	-32	431	272	157	148	658	8	4856	377	49	612	66	0	49	27	43	6	14	0	187	179	0	7092
BALLDON'TLIE	MBM	1058	280	17	238	488	452	400	2960	49	746	183	82	612	147	29	94	59	96	11	48	5	64	57	1	7203
Djinni		642	160	11	197	138	109	97	668	11	2093	166	45	342	27	6	30	13	34	5	7	0	52	55	5	4144
Curry		786	260	-29	313	279	185	179	973	5	3755	284	43	567	71	8	64	33	39	1	20	1	129	104	5	6752
Mr. Hat	HGW	1061	280	-40	282	596	557	512	3202	39	792	199	116	612	187	29	136	88	110	6	68	7	75	57	3	7416
OldRoller		1226	280	13	415	277	195	173	1588	21	3647	348	80	612	65	22	69	47	43	5	22	2	153	154	5	7795
#SelfySyntax	MIA	409	140	-1	99	204	184	168	1087	16	436	61	34	306	66	8	46	31	48	5	16	0	16	14	1	3935
ez	MIA	1038	280	33	260	410	369	326	2214	40	1206	183	66	612	110	16	113	72	78	8	35	5	61	58	1	7236
Spjork		1030	280	13	313	416	337	304	1732	26	1561	247	92	612	129	14	84	56	67	4	35	3	70	58	3	7795
Altiger		1027	280	33	385	324	241	226	1659	12	2182	318	84	612	85	21	58	46	72	5	27	2	112	101	5	7236
q42		1061	280	13	356	271	168	157	1051	9	4144	288	72	612	48	6	67	47	59	6	21	0	145	132	3	7389
Jihadi		665	200	11	191	314	274	250	1810	23	708	164	50	432	88	15	70	46	64	4	30	1	52	47	2	5624
DT	PKP	1337	280	33	462	251	209	175	1451	28	3977	363	94	612	45	12	72	41	46	6	21	6	169	150	6	7236
TomatoFarmer		516	120	4	192	23	3	3	43	0	2659	158	35	252	0	1	2	1	0	0	0	0	76	70	0	2480
mex	QUE	1388	280	6	520	198	133	114	808	18	4464	456	95	612	41	6	49	30	26	1	12	1	192	198	1	6742
sun chips		811	240	-8	185	417	379	348	2748	29	594	125	64	522	109	31	101	59	81	9	37	1	37	30	3	5688
thenewguy.	MIA	1269	280	25	465	263	168	156	1195	9	4443	384	93	612	53	9	44	34	41	3	11	3	151	146	5	6985
Eashy		467	120	8	149	78	44	40	298	3	2403	130	27	252	8	2	17	14	11	1	5	0	60	40	0	2652
grumpy		1000	280	18	269	393	365	327	1964	36	1295	201	68	612	119	14	105	70	89	9	18	2	61	54	1	6668
okthen		1047	280	25	226	449	406	356	2746	47	1058	174	72	612	122	28	115	76	91	12	30	2	44	35	5	6985
Ball-erina	PKP	960	280	25	207	469	437	395	2678	38	1026	166	66	612	146	22	114	82	111	17	33	1	54	50	5	6985
Fender	SNI	809	240	-12	214	449	426	383	2824	37	720	151	58	540	137	26	117	64	92	9	31	1	52	51	1	6535
Crippy		1213	280	-5	445	302	240	222	1315	15	3839	387	79	612	78	7	80	50	29	3	28	3	151	140	3	7298
waterwheel		449	120	5	125	105	72	65	446	7	1768	106	38	270	21	3	22	15	22	2	6	0	46	44	1	3051
mis		140	40	-8	57	32	18	18	99	0	612	43	12	90	5	1	2	1	4	0	3	0	18	15	0	1127
Bamboozler		976	280	-5	261	424	351	321	2185	26	1638	192	91	612	113	22	110	65	82	9	32	1	58	47	3	7298
gg!		861	280	-5	197	424	394	366	3009	26	796	147	58	612	101	35	111	74	118	9	48	3	42	34	3	7298
Doris		542	120	-17	202	99	64	57	304	5	1764	172	45	252	25	2	16	9	19	2	6	0	71	62	1	3160
pulpo		655	260	-46	189	567	498	469	2413	28	652	132	59	576	179	13	135	80	119	10	47	1	40	33	6	6964
First	KCX	284	100	-2	84	156	134	125	615	6	317	63	21	198	47	3	45	28	23	3	13	0	16	15	2	2497
ref		843	240	-19	281	293	201	187	1301	13	2774	227	68	522	60	11	58	39	53	5	24	1	104	88	4	6227
omar		780	200	20	276	206	134	122	735	12	2701	233	53	450	51	8	38	23	33	3	14	1	110	95	2	5475
d0pe	QUE	683	200	12	147	319	312	279	1883	31	613	116	53	432	86	11	84	56	76	7	26	0	31	27	2	5227
ShinjukuGirl		649	200	-35	237	292	239	229	1526	9	1508	197	55	432	80	14	84	53	46	2	33	2	80	64	1	5717
Zig!		492	131	-25	155	116	75	70	443	4	2177	142	19	297	27	3	22	16	25	0	10	1	66	68	1	3758
Pro Boat		164	40	-8	47	36	24	21	118	2	563	37	15	90	8	0	10	3	6	0	5	1	14	14	0	1006
FM		677	160	2	291	123	91	84	590	7	2358	246	36	360	28	4	31	20	29	2	7	1	112	107	0	4262
Wanye		418	120	-22	136	162	145	133	868	11	1137	117	26	270	49	8	53	25	30	3	18	1	49	43	5	3429
Frozen		62	20	-3	26	34	25	24	122	1	75	15	7	36	10	1	3	2	6	0	0	0	8	8	1	550
grunt		553	120	6	197	124	81	69	442	11	1913	162	40	270	25	1	29	23	16	1	9	4	85	78	1	3059
titanblue	HGW	-1	0	0	0	1	1	1	1	0	0	0	0	27	1	0	0	0	0	0	0	0	0	0	0	358
Alphachurro	SNI	276	89	-20	102	104	61	56	252	5	1193	93	14	198	26	0	16	9	21	4	11	0	43	38	2	2694
2P1S	DPS	71	20	1	18	22	22	19	150	3	51	13	7	54	7	2	11	6	5	0	3	0	1	1	0	627
Raven		117	40	-4	34	42	28	28	209	0	433	33	12	90	7	2	10	9	11	0	1	0	10	11	2	1241
Cheetosrule		123	40	-10	28	87	72	63	323	8	141	22	8	90	25	1	15	5	8	1	14	3	8	4	0	925
Kamikaze		72	20	-4	23	26	16	12	88	3	221	15	3	36	4	1	1	1	1	0	2	0	5	3	1	556
player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst
titanblue	HGW	763	200	9	201	366	321	291	2084	28	502	147	60	414	104	26	97	61	66	9	34	3	38	26	1	4713
ShinjukuGirl		813	260	-5	222	407	350	317	2225	26	849	169	55	576	108	25	89	59	78	9	35	2	37	38	1	7401
Maru		993	280	-1	238	475	413	369	3356	40	768	190	70	612	106	41	109	80	89	16	33	4	53	46	3	7855
NEB.		1118	280	-1	352	278	163	149	1066	13	3660	289	75	612	48	13	42	25	45	2	11	0	119	108	7	7855
Ball-erina	PKP	878	268	-2	178	464	433	393	2687	37	548	121	72	612	118	21	111	66	104	13	32	1	29	29	4	6720
top kekker	LAA	1153	280	-2	388	253	143	132	723	8	5017	317	81	612	48	3	39	23	34	0	18	0	133	128	3	6720
YuuStare		609	160	-11	197	127	66	61	470	3	2300	172	38	342	25	7	20	15	11	1	9	1	64	53	1	4635
grumpy		1070	280	-2	356	235	141	129	794	11	4704	292	59	612	45	4	54	20	29	2	17	3	117	109	4	6720
FM		1145	280	27	360	230	147	136	1106	11	4544	303	71	612	44	13	51	30	43	6	12	1	139	129	1	6572
Cheetosrule		1024	280	52	290	405	354	318	2355	30	1298	220	74	612	98	19	106	70	84	13	36	2	67	64	2	7334
Destar		207	80	-8	54	136	110	105	612	5	207	34	24	180	30	5	32	21	33	1	11	0	7	5	1	2124
ez	MIA	1186	280	52	253	384	352	303	2806	47	942	195	87	612	79	34	122	79	74	13	27	2	56	47	4	7334
Xile	MIA	520	120	31	167	94	62	56	557	5	1932	145	29	252	10	5	20	10	19	3	4	0	67	54	1	3003
Suchit		1279	280	52	364	281	206	179	1585	25	3643	312	81	612	44	15	62	40	83	9	16	4	126	114	0	7334
FK		1150	280	27	388	218	119	108	698	10	4862	338	64	612	30	6	39	28	31	2	7	0	150	126	0	6572
GOOBR		1082	280	27	225	441	409	363	2687	43	1027	160	69	612	99	21	112	71	78	7	49	5	57	46	0	6572
Bal McCartny		1027	280	-52	409	291	164	157	758	7	4063	370	67	612	63	3	46	30	45	3	15	0	182	154	4	7392
inthesomeday	SSC	392	120	-15	106	165	148	134	919	12	366	61	42	270	45	8	32	17	39	4	16	2	20	18	1	3031
d0pe	QUE	761	280	-24	202	497	448	420	2756	23	589	159	63	612	136	21	119	75	68	2	46	2	31	31	7	7352
thenewguy.	MIA	1194	280	6	334	329	257	226	1646	27	3074	283	96	612	83	19	64	38	38	4	28	2	118	102	1	6787
Raven		1102	280	-24	356	250	189	173	1316	14	3297	297	86	612	46	9	48	28	46	6	12	2	135	122	0	7379
First	KCX	747	240	-56	192	407	332	304	1913	25	718	159	55	522	121	16	80	50	55	3	26	4	39	36	4	6105
aaron	LAA	1153	280	-24	378	268	152	138	888	13	3819	307	95	612	60	9	57	30	24	1	18	2	147	125	3	7352
aardvark	SSC	708	239	-58	248	306	210	194	1105	15	1917	194	54	504	79	11	47	28	33	2	24	3	60	59	6	6288
DAD.	2BP	1063	280	15	271	280	238	210	1715	22	2214	217	79	612	60	16	84	58	48	5	19	1	51	52	6	7887
BALLDON'TLIE	MBM	1178	280	-25	372	286	228	202	1740	26	2870	298	97	612	62	19	73	44	62	9	26	4	123	109	2	7976
Air Jordan		1035	280	15	267	409	322	292	2109	30	1477	192	66	612	112	22	78	51	74	7	24	1	63	47	2	7887
Ty	LAA	1221	280	15	374	289	217	196	1763	20	2864	296	106	612	69	22	70	51	47	5	13	0	102	87	6	7887
#SelfySyntax	MIA	850	280	-53	175	409	354	325	2394	24	1165	124	82	612	103	17	89	58	104	11	33	2	33	27	2	7564
Messi	DPS	900	277	5	204	400	368	329	2894	39	859	150	63	612	86	29	105	69	100	13	27	1	57	49	3	7411
BIG CLEFFA		1126	280	5	402	212	128	116	683	11	4167	347	62	612	49	4	39	22	38	7	8	0	148	138	1	7411
Deafheaven		923	280	5	219	432	395	357	2621	34	965	161	81	612	108	20	108	72	100	13	29	2	46	36	6	7411
team		115	40	-16	34	63	58	54	334	2	110	27	12	90	15	3	18	9	11	0	5	0	5	5	0	1119
Juke of Yore		232	60	6	50	66	50	43	399	7	431	41	20	171	14	5	17	10	16	2	3	0	16	10	2	1858
Airmigo		64	23	-11	19	23	15	15	76	0	405	18	5	81	3	0	6	4	6	0	1	0	10	11	0	809
GRIMROG		341	80	18	84	148	139	125	797	13	309	58	25	162	58	10	44	29	30	2	10	2	19	24	0	1669
Pro Boat		661	160	21	207	189	117	108	834	8	2293	176	44	360	40	11	26	16	30	3	10	1	77	66	3	4331
Squeeb		473	120	0	128	124	97	84	560	10	1834	110	24	234	26	4	30	20	31	2	10	1	49	45	1	3170
IfYouSeekAmy	LMP	116	52	-11	32	84	62	60	305	1	122	28	12	126	18	0	13	8	13	0	8	1	4	4	1	1480
St. Bernard	MBM	345	80	9	97	49	22	20	234	2	1225	82	24	162	5	4	6	4	3	0	1	0	40	30	2	2119
KIDDO116		460	120	17	78	199	176	156	1254	19	280	58	48	270	51	14	49	36	27	3	9	0	19	17	0	2779
Sugar		137	40	-9	51	41	30	29	156	1	443	44	10	108	7	1	4	4	15	1	3	0	18	16	0	1151
Will1119		157	40	-2	18	59	51	45	334	6	99	16	16	108	12	1	14	4	13	2	1	0	3	2	0	1033
Acuraun		59	20	-7	21	25	10	10	41	0	231	17	5	54	1	0	4	4	1	0	2	0	7	6	0	493
player	team	score	minutes	pm	tags	pops	grabs	drops	hold	captures	prevent	returns	pups	pupscomp	flaccids	longholds	handoff	goodhandoff	goregrab	coregrab	gohandoff	cohandoff	retinbase	quickret	saves	holdagainst
titanblue	HGW	357	110	6	78	201	185	168	1145	16	232	59	23	234	65	13	43	27	41	6	14	0	10	13	0	2514
yawn	HGW	963	240	20	367	216	103	99	657	3	3940	310	75	486	36	5	37	23	30	3	14	0	141	116	3	5985
Kei Yonagi	MIA	996	280	14	282	407	366	328	2082	35	1736	240	58	576	127	16	88	53	76	7	26	4	81	64	0	7029
Armbranch	MIA	907	200	8	331	147	96	90	639	5	3651	285	55	396	32	5	23	19	30	1	10	0	156	150	1	4958
Drippy	HGW	970	249	22	256	439	414	369	2457	42	1398	224	58	522	138	21	126	75	89	11	36	3	88	71	2	6489
Mr. Hat	HGW	715	200	14	163	402	379	342	2127	34	745	116	51	396	122	17	89	49	86	15	30	3	35	32	2	4823
ez	MIA	938	280	-4	204	342	324	289	2699	33	1083	145	77	576	71	34	90	59	81	9	33	2	39	38	1	7617
thenewguy.	MIA	1219	280	-4	444	280	192	176	1407	14	3811	363	79	576	58	15	46	33	44	7	16	0	161	130	2	7617
top kekker	LAA	1170	279	-13	403	260	164	151	910	13	4506	340	88	573	59	6	36	25	38	5	11	1	150	133	2	7191
FM		1062	280	-28	410	270	171	162	928	6	4328	343	65	576	56	5	43	23	44	0	9	0	172	158	2	6761
Ty	LAA	987	279	-34	317	300	246	225	1502	19	2002	252	70	573	74	14	69	45	50	7	17	0	97	85	3	7995
DragonBeast	LAA	856	279	-13	204	426	375	348	2706	20	691	157	75	573	112	29	73	52	71	2	24	0	35	32	3	7191
aaron	LAA	1167	279	-13	413	278	179	162	1052	15	3767	355	75	573	61	13	50	28	24	3	15	1	142	124	2	7191
